	Source	Target	Group_Name	18+	Members	Pool_Counts
364	25076731@N05	57122062@N00	Aspiring Young Photographers	0	17567	754597
365	25076731@N05	1563499@N24	Auto Focus Level 01 (P1-C5)	0	10687	413227
366	25076731@N05	1644988@N25	Auto Focus Level 02 (P1-C5)	0	8683	193067
367	25076731@N05	1699266@N23	Auto Focus Level 03 (P1-C5)	0	7093	122886
368	25076731@N05	1748808@N24	Auto Focus Level 04 (P1-C5 )	0	5854	85460
369	25076731@N05	1746899@N24	Auto Focus Level 05 (P1-C5)	0	5002	63503
370	25076731@N05	1748824@N24	Auto Focus Level 06 (P1-C5)	0	4335	51645
371	25076731@N05	947924@N25	AWESOME ASIA  post 1, award 3 (Join Us Please)	0	4786	161026
372	25076731@N05	52239733174@N01	B&amp;W	0	231940	6098227
373	25076731@N05	81723560@N00	B+W	0	29826	1313058
374	25076731@N05	18352827@N00	B/W ... the world in black and white	0	19712	1046018
375	25076731@N05	74136425@N00	Bangkok	0	4916	106621
376	25076731@N05	347276@N23	Beautiful Capture	0	128561	7216044
377	25076731@N05	76169353@N00	Beautiful China	0	5777	233939
378	25076731@N05	52240205351@N01	Beautiful Clouds	0	22249	302484
379	25076731@N05	3162812@N21	Beautiful corners of the world	0	423	27059
380	25076731@N05	94899009@N00	Beginner's Digital Photography	0	39779	1078625
381	25076731@N05	2939950@N22	Best 5000 Free Pictures	0	1059	14523
382	25076731@N05	453397@N24	Better Than Good	0	47533	816628
